HbO,1,1	HbR,1,1	HbT,1,1	HbO,1,2	HbR,1,2	HbT,1,2	HbO,1,3	HbR,1,3	HbT,1,3	HbO,2,2	HbR,2,2	HbT,2,2	HbO,2,4	HbR,2,4	HbT,2,4	HbO,3,1	HbR,3,1	HbT,3,1	HbO,3,3	HbR,3,3	HbT,3,3	HbO,4,2	HbR,4,2	HbT,4,2	HbO,4,3	HbR,4,3	HbT,4,3	HbO,4,4	HbR,4,4	HbT,4,4	HbO,5,5	HbR,5,5	HbT,5,5	HbO,5,6	HbR,5,6	HbT,5,6	HbO,5,7	HbR,5,7	HbT,5,7	HbO,6,6	HbR,6,6	HbT,6,6	HbO,6,8	HbR,6,8	HbT,6,8	HbO,7,5	HbR,7,5	HbT,7,5	HbO,7,7	HbR,7,7	HbT,7,7	HbO,8,6	HbR,8,6	HbT,8,6	HbO,8,7	HbR,8,7	HbT,8,7	HbO,8,8	HbR,8,8	HbT,8,8	
7.1012e-07	4.1251e-07	1.1226e-06	5.2093e-07	-2.9652e-08	4.9128e-07	1.0092e-06	2.9264e-07	1.3019e-06	7.9068e-07	3.7399e-07	1.1647e-06	-4.6082e-08	-1.0382e-07	-1.499e-07	-7.1144e-08	1.14e-07	4.286e-08	2.1888e-07	2.4706e-07	4.6595e-07	-3.976e-07	-1.4661e-07	-5.4421e-07	1.0728e-06	2.8755e-07	1.3603e-06	4.6065e-07	1.0041e-07	5.6106e-07	4.0854e-07	6.6976e-08	4.7552e-07	3.7954e-07	7.819e-08	4.5773e-07	3.077e-07	6.7539e-08	3.7524e-07	7.6399e-07	1.3909e-07	9.0308e-07	6.1418e-08	-2.0885e-08	4.0533e-08	5.5721e-07	1.0393e-07	6.6114e-07	2.1061e-07	1.5704e-07	3.6766e-07	3.3418e-07	2.9281e-07	6.2698e-07	2.1653e-07	1.7911e-07	3.9564e-07	1.594e-07	1.0197e-07	2.6137e-07
6.9339e-07	4.0318e-07	1.0966e-06	5.0796e-07	-2.858e-08	4.7938e-07	9.8477e-07	2.8623e-07	1.271e-06	7.7107e-07	3.6486e-07	1.1359e-06	-4.4724e-08	-1.0133e-07	-1.4605e-07	-6.9497e-08	1.1155e-07	4.2055e-08	2.133e-07	2.4104e-07	4.5434e-07	-3.8856e-07	-1.4293e-07	-5.3149e-07	1.0464e-06	2.8064e-07	1.3271e-06	4.4928e-07	9.802e-08	5.473e-07	3.9866e-07	6.5823e-08	4.6448e-07	3.7004e-07	7.661e-08	4.4665e-07	2.9982e-07	6.6467e-08	3.6629e-07	7.4554e-07	1.3584e-07	8.8138e-07	5.979e-08	-2.0434e-08	3.9356e-08	5.4326e-07	1.0164e-07	6.4489e-07	2.0475e-07	1.5352e-07	3.5827e-07	3.2517e-07	2.8616e-07	6.1133e-07	2.1037e-07	1.7512e-07	3.8549e-07	1.5494e-07	9.9809e-08	2.5475e-07
6.7659e-07	3.9379e-07	1.0704e-06	4.9497e-07	-2.7516e-08	4.6745e-07	9.6022e-07	2.7978e-07	1.24e-06	7.5141e-07	3.5571e-07	1.1071e-06	-4.3369e-08	-9.8831e-08	-1.422e-07	-6.7837e-08	1.0908e-07	4.1242e-08	2.0771e-07	2.3499e-07	4.4271e-07	-3.7947e-07	-1.3924e-07	-5.1871e-07	1.02e-06	2.737e-07	1.2937e-06	4.3788e-07	9.5621e-08	5.335e-07	3.8874e-07	6.465e-08	4.5339e-07	3.6052e-07	7.5014e-08	4.3553e-07	2.9192e-07	6.5373e-08	3.573e-07	7.2701e-07	1.3258e-07	8.5959e-07	5.816e-08	-1.998e-08	3.818e-08	5.2928e-07	9.9324e-08	6.286e-07	1.9889e-07	1.4998e-07	3.4887e-07	3.1616e-07	2.7948e-07	5.9563e-07	2.0422e-07	1.711e-07	3.7532e-07	1.505e-07	9.7626e-08	2.4813e-07
6.5972e-07	3.8436e-07	1.0441e-06	4.8194e-07	-2.6459e-08	4.5548e-07	9.356e-07	2.7329e-07	1.2089e-06	7.3171e-07	3.4653e-07	1.0782e-06	-4.2017e-08	-9.6324e-08	-1.3834e-07	-6.6165e-08	1.0659e-07	4.0422e-08	2.0211e-07	2.2893e-07	4.3104e-07	-3.7034e-07	-1.3554e-07	-5.0588e-07	9.9346e-07	2.6675e-07	1.2602e-06	4.2646e-07	9.3216e-08	5.1968e-07	3.7879e-07	6.3456e-08	4.4224e-07	3.5097e-07	7.3402e-08	4.2437e-07	2.8401e-07	6.4256e-08	3.4827e-07	7.0842e-07	1.293e-07	8.3772e-07	5.6529e-08	-1.9524e-08	3.7005e-08	5.1527e-07	9.6995e-08	6.1226e-07	1.9304e-07	1.4641e-07	3.3946e-07	3.0714e-07	2.7276e-07	5.799e-07	1.9808e-07	1.6706e-07	3.6514e-07	1.4606e-07	9.5424e-08	2.4149e-07
6.4279e-07	3.7487e-07	1.0177e-06	4.6888e-07	-2.5408e-08	4.4348e-07	9.1089e-07	2.6675e-07	1.1776e-06	7.1195e-07	3.3732e-07	1.0493e-06	-4.067e-08	-9.3808e-08	-1.3448e-07	-6.4481e-08	1.0407e-07	3.9593e-08	1.965e-07	2.2285e-07	4.1935e-07	-3.6116e-07	-1.3184e-07	-4.93e-07	9.6687e-07	2.5977e-07	1.2266e-06	4.1502e-07	9.0803e-08	5.0582e-07	3.688e-07	6.2242e-08	4.3104e-07	3.4141e-07	7.1773e-08	4.1318e-07	2.7609e-07	6.3116e-08	3.392e-07	6.8976e-07	1.2601e-07	8.1577e-07	5.4896e-08	-1.9065e-08	3.5832e-08	5.0124e-07	9.4651e-08	5.9589e-07	1.872e-07	1.4283e-07	3.3003e-07	2.9813e-07	2.66e-07	5.6413e-07	1.9196e-07	1.6299e-07	3.5494e-07	1.4164e-07	9.3203e-08	2.3484e-07
6.258e-07	3.6534e-07	9.9113e-07	4.558e-07	-2.4366e-08	4.3144e-07	8.8612e-07	2.6018e-07	1.1463e-06	6.9215e-07	3.2809e-07	1.0202e-06	-3.9326e-08	-9.1284e-08	-1.3061e-07	-6.2785e-08	1.0154e-07	3.8757e-08	1.9088e-07	2.1674e-07	4.0763e-07	-3.5194e-07	-1.2813e-07	-4.8006e-07	9.4022e-07	2.5278e-07	1.193e-06	4.0356e-07	8.8384e-08	4.9194e-07	3.5879e-07	6.1008e-08	4.1979e-07	3.3182e-07	7.0128e-08	4.0195e-07	2.6815e-07	6.1953e-08	3.301e-07	6.7104e-07	1.227e-07	7.9374e-07	5.3263e-08	-1.8604e-08	3.4659e-08	4.8718e-07	9.229e-08	5.7947e-07	1.8137e-07	1.3922e-07	3.2059e-07	2.8911e-07	2.5921e-07	5.4831e-07	1.8584e-07	1.589e-07	3.4474e-07	1.3722e-07	9.0963e-08	2.2818e-07
6.0874e-07	3.5575e-07	9.6449e-07	4.4269e-07	-2.3331e-08	4.1936e-07	8.6127e-07	2.5356e-07	1.1148e-06	6.7231e-07	3.1884e-07	9.9115e-07	-3.7986e-08	-8.8752e-08	-1.2674e-07	-6.1079e-08	9.899e-08	3.7912e-08	1.8526e-07	2.1062e-07	3.9588e-07	-3.4267e-07	-1.2441e-07	-4.6708e-07	9.1351e-07	2.4576e-07	1.1593e-06	3.9208e-07	8.5957e-08	4.7803e-07	3.4874e-07	5.9753e-08	4.0849e-07	3.2222e-07	6.8467e-08	3.9069e-07	2.602e-07	6.0767e-08	3.2097e-07	6.5225e-07	1.1938e-07	7.7163e-07	5.1628e-08	-1.814e-08	3.3488e-08	4.731e-07	8.9915e-08	5.6301e-07	1.7555e-07	1.3559e-07	3.1114e-07	2.8009e-07	2.5238e-07	5.3247e-07	1.7974e-07	1.5478e-07	3.3452e-07	1.3281e-07	8.8705e-08	2.2151e-07
5.9162e-07	3.4612e-07	9.3774e-07	4.2956e-07	-2.2304e-08	4.0726e-07	8.3635e-07	2.4691e-07	1.0833e-06	6.5243e-07	3.0956e-07	9.6199e-07	-3.6651e-08	-8.6212e-08	-1.2286e-07	-5.9361e-08	9.642e-08	3.7059e-08	1.7962e-07	2.0449e-07	3.8411e-07	-3.3336e-07	-1.2069e-07	-4.5405e-07	8.8673e-07	2.3873e-07	1.1255e-06	3.8057e-07	8.3524e-08	4.641e-07	3.3867e-07	5.8479e-08	3.9714e-07	3.126e-07	6.679e-08	3.7939e-07	2.5224e-07	5.9558e-08	3.118e-07	6.3341e-07	1.1605e-07	7.4945e-07	4.9993e-08	-1.7674e-08	3.2319e-08	4.5899e-07	8.7524e-08	5.4651e-07	1.6974e-07	1.3195e-07	3.0169e-07	2.7108e-07	2.4551e-07	5.1659e-07	1.7365e-07	1.5064e-07	3.2429e-07	1.2841e-07	8.6429e-08	2.1484e-07
5.7444e-07	3.3645e-07	9.1088e-07	4.164e-07	-2.1284e-08	3.9512e-07	8.1136e-07	2.4021e-07	1.0516e-06	6.3251e-07	3.0026e-07	9.3276e-07	-3.532e-08	-8.3664e-08	-1.1898e-07	-5.7633e-08	9.383e-08	3.6197e-08	1.7398e-07	1.9833e-07	3.7231e-07	-3.2401e-07	-1.1696e-07	-4.4096e-07	8.5989e-07	2.3167e-07	1.0916e-06	3.6905e-07	8.1084e-08	4.5014e-07	3.2856e-07	5.7184e-08	3.8575e-07	3.0296e-07	6.5097e-08	3.6806e-07	2.4427e-07	5.8326e-08	3.026e-07	6.145e-07	1.127e-07	7.272e-07	4.8357e-08	-1.7205e-08	3.1152e-08	4.4486e-07	8.5118e-08	5.2998e-07	1.6394e-07	1.2828e-07	2.9222e-07	2.6206e-07	2.3861e-07	5.0068e-07	1.6758e-07	1.4648e-07	3.1406e-07	1.2402e-07	8.4134e-08	2.0815e-07
5.572e-07	3.2672e-07	8.8392e-07	4.0322e-07	-2.0274e-08	3.8295e-07	7.863e-07	2.3348e-07	1.0198e-06	6.1254e-07	2.9093e-07	9.0348e-07	-3.3993e-08	-8.1108e-08	-1.151e-07	-5.5894e-08	9.1221e-08	3.5327e-08	1.6833e-07	1.9216e-07	3.605e-07	-3.1461e-07	-1.1322e-07	-4.2783e-07	8.33e-07	2.246e-07	1.0576e-06	3.5751e-07	7.8638e-08	4.3615e-07	3.1843e-07	5.5869e-08	3.743e-07	2.933e-07	6.3388e-08	3.5669e-07	2.363e-07	5.7071e-08	2.9337e-07	5.9554e-07	1.0934e-07	7.0488e-07	4.6721e-08	-1.6734e-08	2.9987e-08	4.3072e-07	8.2697e-08	5.1341e-07	1.5815e-07	1.2459e-07	2.8274e-07	2.5305e-07	2.3168e-07	4.8474e-07	1.6152e-07	1.4229e-07	3.0381e-07	1.1963e-07	8.1822e-08	2.0146e-07
