HbO,1,1	HbR,1,1	HbT,1,1	HbO,1,2	HbR,1,2	HbT,1,2	HbO,1,3	HbR,1,3	HbT,1,3	HbO,2,2	HbR,2,2	HbT,2,2	HbO,2,4	HbR,2,4	HbT,2,4	HbO,3,1	HbR,3,1	HbT,3,1	HbO,3,3	HbR,3,3	HbT,3,3	HbO,4,2	HbR,4,2	HbT,4,2	HbO,4,3	HbR,4,3	HbT,4,3	HbO,4,4	HbR,4,4	HbT,4,4	HbO,5,5	HbR,5,5	HbT,5,5	HbO,5,6	HbR,5,6	HbT,5,6	HbO,5,7	HbR,5,7	HbT,5,7	HbO,6,6	HbR,6,6	HbT,6,6	HbO,6,8	HbR,6,8	HbT,6,8	HbO,7,5	HbR,7,5	HbT,7,5	HbO,7,7	HbR,7,7	HbT,7,7	HbO,8,6	HbR,8,6	HbT,8,6	HbO,8,7	HbR,8,7	HbT,8,7	HbO,8,8	HbR,8,8	HbT,8,8	
-5.5022e-08	-2.7951e-08	-8.2973e-08	-1.0047e-07	-4.7534e-08	-1.48e-07	3.3937e-08	-3.1617e-08	2.3196e-09	2.7945e-07	1.5006e-08	2.9445e-07	9.5751e-08	-1.4313e-08	8.1438e-08	-5.3241e-08	3.6169e-08	-1.7072e-08	6.3385e-08	-4.8786e-08	1.4599e-08	1.7598e-07	-2.1491e-08	1.5449e-07	2.1016e-07	-5.1426e-08	1.5873e-07	4.1764e-08	-2.9982e-08	1.1782e-08	-4.5473e-08	-8.0293e-08	-1.2577e-07	5.9322e-08	-6.0179e-08	-8.5629e-10	1.1392e-07	-1.3611e-08	1.0031e-07	6.3118e-08	-1.1655e-07	-5.3427e-08	1.8285e-07	-6.797e-08	1.1488e-07	-2.5707e-08	-4.2373e-08	-6.808e-08	4.2103e-08	7.5279e-09	4.9631e-08	6.1333e-08	-3.9604e-08	2.1729e-08	1.747e-07	-2.1609e-08	1.5309e-07	3.2081e-08	-6.6113e-08	-3.4031e-08
-5.3359e-08	-2.7257e-08	-8.0616e-08	-9.7387e-08	-4.6253e-08	-1.4364e-07	3.3238e-08	-3.0716e-08	2.5223e-09	2.724e-07	1.4801e-08	2.872e-07	9.2976e-08	-1.3798e-08	7.9178e-08	-5.1794e-08	3.5167e-08	-1.6627e-08	6.1763e-08	-4.7482e-08	1.428e-08	1.7098e-07	-2.0892e-08	1.5009e-07	2.04e-07	-5.0091e-08	1.5391e-07	4.0131e-08	-2.9053e-08	1.1078e-08	-4.3856e-08	-7.8677e-08	-1.2253e-07	5.7899e-08	-5.9012e-08	-1.113e-09	1.1127e-07	-1.3123e-08	9.8142e-08	6.1318e-08	-1.1339e-07	-5.2077e-08	1.7761e-07	-6.5963e-08	1.1165e-07	-2.4788e-08	-4.139e-08	-6.6179e-08	4.0919e-08	7.2648e-09	4.8184e-08	5.9616e-08	-3.8572e-08	2.1044e-08	1.6988e-07	-2.0934e-08	1.4895e-07	3.1008e-08	-6.4234e-08	-3.3227e-08
-5.1703e-08	-2.6562e-08	-7.8265e-08	-9.4328e-08	-4.4973e-08	-1.393e-07	3.2533e-08	-2.9817e-08	2.716e-09	2.6534e-07	1.4588e-08	2.7993e-07	9.0209e-08	-1.3286e-08	7.6922e-08	-5.0348e-08	3.4167e-08	-1.6181e-08	6.0139e-08	-4.6179e-08	1.3959e-08	1.66e-07	-2.0293e-08	1.457e-07	1.9787e-07	-4.8755e-08	1.4911e-07	3.8517e-08	-2.8127e-08	1.039e-08	-4.2255e-08	-7.7045e-08	-1.193e-07	5.647e-08	-5.783e-08	-1.3603e-09	1.086e-07	-1.264e-08	9.5958e-08	5.9524e-08	-1.1025e-07	-5.0722e-08	1.7238e-07	-6.3963e-08	1.0842e-07	-2.3882e-08	-4.0402e-08	-6.4284e-08	3.9736e-08	7.0043e-09	4.674e-08	5.7905e-08	-3.7539e-08	2.0365e-08	1.6507e-07	-2.0262e-08	1.4481e-07	2.9942e-08	-6.236e-08	-3.2418e-08
-5.0055e-08	-2.5865e-08	-7.592e-08	-9.1287e-08	-4.3694e-08	-1.3498e-07	3.182e-08	-2.8919e-08	2.9009e-09	2.5827e-07	1.4367e-08	2.7263e-07	8.745e-08	-1.2779e-08	7.467e-08	-4.8904e-08	3.3171e-08	-1.5733e-08	5.8513e-08	-4.4877e-08	1.3636e-08	1.6103e-07	-1.9694e-08	1.4133e-07	1.9175e-07	-4.7418e-08	1.4433e-07	3.6924e-08	-2.7206e-08	9.718e-09	-4.0669e-08	-7.5397e-08	-1.1607e-07	5.5036e-08	-5.6634e-08	-1.5983e-09	1.0592e-07	-1.2162e-08	9.3757e-08	5.7736e-08	-1.071e-07	-4.9363e-08	1.6718e-07	-6.1969e-08	1.0521e-07	-2.2987e-08	-3.9409e-08	-6.2396e-08	3.8554e-08	6.7463e-09	4.53e-08	5.62e-08	-3.6505e-08	1.9695e-08	1.6027e-07	-1.9594e-08	1.4067e-07	2.8886e-08	-6.049e-08	-3.1604e-08
-4.8414e-08	-2.5167e-08	-7.3581e-08	-8.8264e-08	-4.2417e-08	-1.3068e-07	3.11e-08	-2.8024e-08	3.0768e-09	2.5118e-07	1.4138e-08	2.6532e-07	8.4699e-08	-1.2276e-08	7.2423e-08	-4.7461e-08	3.2178e-08	-1.5283e-08	5.6885e-08	-4.3576e-08	1.3309e-08	1.5607e-07	-1.9095e-08	1.3697e-07	1.8566e-07	-4.608e-08	1.3958e-07	3.5351e-08	-2.6289e-08	9.0616e-09	-3.91e-08	-7.3732e-08	-1.1283e-07	5.3597e-08	-5.5424e-08	-1.8268e-09	1.0323e-07	-1.1689e-08	9.1538e-08	5.5954e-08	-1.0395e-07	-4.7999e-08	1.6198e-07	-5.9984e-08	1.02e-07	-2.2104e-08	-3.8411e-08	-6.0515e-08	3.7374e-08	6.4907e-09	4.3865e-08	5.4501e-08	-3.547e-08	1.9031e-08	1.5547e-07	-1.893e-08	1.3654e-07	2.7837e-08	-5.8624e-08	-3.0786e-08
-4.6782e-08	-2.4466e-08	-7.1248e-08	-8.526e-08	-4.1141e-08	-1.264e-07	3.0374e-08	-2.713e-08	3.2438e-09	2.4407e-07	1.3901e-08	2.5797e-07	8.1958e-08	-1.1777e-08	7.018e-08	-4.6021e-08	3.1189e-08	-1.4832e-08	5.5256e-08	-4.2276e-08	1.298e-08	1.5112e-07	-1.8497e-08	1.3263e-07	1.7959e-07	-4.4741e-08	1.3485e-07	3.3798e-08	-2.5377e-08	8.4209e-09	-3.7547e-08	-7.2052e-08	-1.096e-07	5.2154e-08	-5.42e-08	-2.0459e-09	1.0052e-07	-1.1221e-08	8.9302e-08	5.4179e-08	-1.0081e-07	-4.6632e-08	1.5681e-07	-5.8005e-08	9.8804e-08	-2.1232e-08	-3.7408e-08	-5.864e-08	3.6195e-08	6.2376e-09	4.2433e-08	5.2808e-08	-3.4434e-08	1.8374e-08	1.5068e-07	-1.827e-08	1.3241e-07	2.6798e-08	-5.6762e-08	-2.9964e-08
-4.5157e-08	-2.3764e-08	-6.8922e-08	-8.2275e-08	-3.9866e-08	-1.2214e-07	2.964e-08	-2.6238e-08	3.4018e-09	2.3696e-07	1.3657e-08	2.5061e-07	7.9225e-08	-1.1283e-08	6.7942e-08	-4.4582e-08	3.0202e-08	-1.4379e-08	5.3625e-08	-4.0977e-08	1.2649e-08	1.4619e-07	-1.79e-08	1.2829e-07	1.7355e-07	-4.3402e-08	1.3014e-07	3.2265e-08	-2.4469e-08	7.7957e-09	-3.6009e-08	-7.0357e-08	-1.0637e-07	5.0706e-08	-5.2961e-08	-2.2555e-09	9.7807e-08	-1.0758e-08	8.7048e-08	5.241e-08	-9.7671e-08	-4.5261e-08	1.5165e-07	-5.6034e-08	9.5616e-08	-2.0372e-08	-3.64e-08	-5.6772e-08	3.5019e-08	5.987e-09	4.1006e-08	5.1121e-08	-3.3397e-08	1.7725e-08	1.459e-07	-1.7613e-08	1.2828e-07	2.5766e-08	-5.4905e-08	-2.9138e-08
-4.3541e-08	-2.3061e-08	-6.6601e-08	-7.9309e-08	-3.8592e-08	-1.179e-07	2.8899e-08	-2.5348e-08	3.5508e-09	2.2983e-07	1.3405e-08	2.4323e-07	7.6501e-08	-1.0792e-08	6.5709e-08	-4.3144e-08	2.9219e-08	-1.3925e-08	5.1993e-08	-3.9679e-08	1.2314e-08	1.4127e-07	-1.7303e-08	1.2397e-07	1.6752e-07	-4.2062e-08	1.2546e-07	3.0752e-08	-2.3566e-08	7.1861e-09	-3.4488e-08	-6.8645e-08	-1.0313e-07	4.9253e-08	-5.1708e-08	-2.4555e-09	9.5079e-08	-1.0301e-08	8.4778e-08	5.0647e-08	-9.4534e-08	-4.3888e-08	1.4651e-07	-5.4071e-08	9.2437e-08	-1.9524e-08	-3.5387e-08	-5.4911e-08	3.3844e-08	5.7388e-09	3.9582e-08	4.9441e-08	-3.2359e-08	1.7082e-08	1.4113e-07	-1.696e-08	1.2417e-07	2.4744e-08	-5.3052e-08	-2.8308e-08
-4.1932e-08	-2.2355e-08	-6.4288e-08	-7.6361e-08	-3.732e-08	-1.1368e-07	2.8152e-08	-2.4461e-08	3.6909e-09	2.2269e-07	1.3145e-08	2.3583e-07	7.3787e-08	-1.0306e-08	6.348e-08	-4.1709e-08	2.8239e-08	-1.347e-08	5.036e-08	-3.8382e-08	1.1978e-08	1.3637e-07	-1.6707e-08	1.1966e-07	1.6152e-07	-4.0722e-08	1.208e-07	2.926e-08	-2.2668e-08	6.5919e-09	-3.2983e-08	-6.6918e-08	-9.9901e-08	4.7796e-08	-5.0442e-08	-2.646e-09	9.2339e-08	-9.848e-09	8.2491e-08	4.889e-08	-9.1401e-08	-4.2511e-08	1.4138e-07	-5.2116e-08	8.9268e-08	-1.8686e-08	-3.437e-08	-5.3057e-08	3.2671e-08	5.4931e-09	3.8164e-08	4.7766e-08	-3.1321e-08	1.6445e-08	1.3636e-07	-1.6312e-08	1.2005e-07	2.373e-08	-5.1204e-08	-2.7474e-08
-4.0332e-08	-2.1649e-08	-6.198e-08	-7.3431e-08	-3.605e-08	-1.0948e-07	2.7398e-08	-2.3576e-08	3.8219e-09	2.1553e-07	1.2878e-08	2.2841e-07	7.1081e-08	-9.8246e-09	6.1257e-08	-4.0276e-08	2.7263e-08	-1.3013e-08	4.8725e-08	-3.7087e-08	1.1638e-08	1.3148e-07	-1.6111e-08	1.1537e-07	1.5555e-07	-3.9381e-08	1.1617e-07	2.7787e-08	-2.1774e-08	6.013e-09	-3.1493e-08	-6.5175e-08	-9.6669e-08	4.6334e-08	-4.9161e-08	-2.8269e-09	8.9587e-08	-9.4005e-09	8.0187e-08	4.7139e-08	-8.8271e-08	-4.1132e-08	1.3628e-07	-5.0169e-08	8.6107e-08	-1.786e-08	-3.3349e-08	-5.1209e-08	3.15e-08	5.2498e-09	3.6749e-08	4.6097e-08	-3.0281e-08	1.5816e-08	1.3161e-07	-1.5667e-08	1.1594e-07	2.2724e-08	-4.9361e-08	-2.6637e-08
